Political-affiliation,Gender,Age,Trump-approval,Education,Race,Marital-status,Jobs-robots,Climate-change,Scientists-honest,Vaccines-children,Books,Funding-science
Republican,Male,83,StronglyApprove,Highschool,White,Widowed,unknown,RealCausedbyPeople,unknown,unknown,3,Low
Independent,Female,53,StronglyApprove,College,Asian,Married,Unlikely,RealCausedbyPeople,StronglyDisagree,StronglyDisagree,1,AboutRight
Independent,Male,68,unknown,Graduate,White,Single,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,StronglyDisagree,4,AboutRight
Independent,Male,60,StronglyDisapprove,SomeCollege,unknown,Married,unknown,RealCausedbyPeople,StronglyAgree,StronglyAgree,6,AboutRight
Republican,Female,58,StronglyApprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatDisagree,10,AboutRight
Democrat,Female,53,SomewhatDisapprove,SomeCollege,Black,Married,Likely,RealCausedbyPeople,SomewhatDisagree,SomewhatAgree,2,Low
Independent,Female,26,SomewhatDisapprove,Highschool,Latino,Relationship,Likely,NotReal,SomewhatAgree,StronglyAgree,3,AboutRight
Democrat,Male,58,StronglyDisapprove,Highschool,Black,Relationship,Likely,NotReal,SomewhatAgree,StronglyDisagree,0,High
Independent,Female,37,StronglyDisapprove,College,White,Married,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,120,Low
Independent,Male,52,StronglyApprove,Graduate,White,Married,Unlikely,NotReal,unknown,StronglyAgree,4,AboutRight
unknown,Female,56,StronglyDisapprove,Highschool,White,Married,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Republican,Male,50,StronglyApprove,SomeCollege,White,Married,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,0,unknown
Democrat,Female,47,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,4,Low
Republican,Female,55,StronglyApprove,Highschool,White,Relationship,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,5,Low
Independent,Male,55,SomewhatDisapprove,College,Asian,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,3,Low
Republican,Female,61,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,Low
unknown,Male,64,StronglyDisapprove,unknown,Other,Widowed,Unlikely,RealCausedbyPeople,SomewhatAgree,unknown,4,Low
Republican,Female,54,StronglyApprove,SomeCollege,White,Relationship,Likely,RealCausedbyPeople,unknown,StronglyDisagree,15,unknown
unknown,Female,52,SomewhatDisapprove,SomeCollege,White,Married,Likely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,200,Low
Republican,Female,71,StronglyApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,StronglyDisagree,SomewhatDisagree,16,High
Republican,Female,58,StronglyApprove,Highschool,White,Single,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,SomewhatAgree,3,High
Democrat,Female,40,StronglyDisapprove,SomeCollege,White,Divorced,Unlikely,NotReal,StronglyDisagree,StronglyDisagree,100,High
Democrat,Female,59,StronglyDisapprove,Highschool,White,Married,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Democrat,Female,42,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,225,Low
Independent,Female,38,SomewhatApprove,College,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,20,Low
Democrat,Female,64,StronglyDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,5,AboutRight
Democrat,Female,59,StronglyDisapprove,Graduate,Latino,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,6,Low
Democrat,Female,29,StronglyDisapprove,SomeCollege,White,Single,unknown,RealCausedbyPeople,unknown,StronglyAgree,3,unknown
Republican,Male,65,StronglyDisapprove,Highschool,White,Married,Unlikely,NotReal,SomewhatDisagree,SomewhatAgree,2,High
Republican,Male,52,StronglyApprove,SomeCollege,White,Married,Unlikely,NotReal,SomewhatAgree,StronglyAgree,2,Low
unknown,Male,40,StronglyApprove,Highschool,White,Married,Unlikely,NotReal,StronglyDisagree,SomewhatAgree,13,High
Independent,Female,52,StronglyDisapprove,Highschool,White,Divorced,Likely,NotReal,SomewhatDisagree,StronglyAgree,0,Low
Democrat,Male,56,StronglyDisapprove,SomeCollege,White,Relationship,unknown,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Republican,Male,60,SomewhatApprove,Highschool,White,Married,Unlikely,unknown,unknown,StronglyAgree,0,AboutRight
Democrat,Male,63,StronglyDisapprove,Graduate,White,Married,Likely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,12,Low
Democrat,Female,59,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
unknown,Male,56,SomewhatApprove,Graduate,unknown,Married,Unlikely,NotReal,StronglyDisagree,StronglyDisagree,20,High
Republican,Male,61,StronglyApprove,SomeCollege,White,Married,unknown,RealNotCausedbyPeople,NeitherAgreeDisagree,SomewhatAgree,17,AboutRight
Independent,Male,57,StronglyDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,2,Low
Independent,Female,57,StronglyDisapprove,Graduate,White,Relationship,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,15,Low
Independent,Male,49,SomewhatApprove,College,unknown,Married,Unlikely,NotReal,SomewhatAgree,StronglyAgree,0,AboutRight
Republican,Female,72,StronglyApprove,Highschool,White,Widowed,Unlikely,NotReal,SomewhatDisagree,SomewhatAgree,2,AboutRight
Democrat,Female,68,StronglyDisapprove,Graduate,White,Married,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,AboutRight
Republican,Female,60,StronglyApprove,Graduate,White,Married,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,10,Low
Independent,Female,63,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,30,AboutRight
unknown,Male,46,StronglyApprove,SomeCollege,White,Married,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,25,High
Independent,Male,39,StronglyDisapprove,Graduate,Other,Single,Unlikely,RealCausedbyPeople,SomewhatDisagree,SomewhatDisagree,1000,High
unknown,Male,50,SomewhatApprove,Highschool,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,0,High
Independent,Male,88,NeitherApproveDisapprove,College,White,Married,Likely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,0,AboutRight
Republican,Male,31,SomewhatApprove,College,Asian,Relationship,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,4,Low
unknown,Male,45,NeitherApproveDisapprove,Highschool,Black,Single,Unlikely,unknown,unknown,StronglyAgree,0,Low
Democrat,Other,30,StronglyApprove,Highschool,Black,Single,Unlikely,unknown,StronglyAgree,StronglyAgree,2,High
unknown,Female,64,unknown,Highschool,White,Married,Unlikely,unknown,SomewhatAgree,StronglyAgree,20,unknown
unknown,Female,32,unknown,SomeCollege,White,Single,Unlikely,unknown,unknown,SomewhatAgree,30,unknown
Independent,Female,42,StronglyApprove,College,White,Relationship,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,3,AboutRight
Independent,Male,70,StronglyApprove,SomeCollege,White,Married,Unlikely,NotReal,SomewhatAgree,StronglyAgree,4,AboutRight
Democrat,Female,69,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Independent,Male,51,StronglyApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,0,AboutRight
Independent,Male,64,StronglyApprove,SomeCollege,White,Married,Unlikely,NotReal,StronglyDisagree,NeitherAgreeDisagree,3,High
unknown,Female,49,unknown,Graduate,Black,Divorced,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatDisagree,3,AboutRight
Democrat,Female,34,StronglyDisapprove,College,Black,Single,Unlikely,RealCausedbyPeople,SomewhatDisagree,SomewhatAgree,8,High
Republican,Female,50,NeitherApproveDisapprove,College,White,Married,Unlikely,NotReal,SomewhatAgree,SomewhatAgree,50,unknown
Independent,Female,65,StronglyApprove,Graduate,White,Widowed,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,5,Low
Independent,Male,74,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
Republican,Male,49,StronglyApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,1,AboutRight
Republican,Female,25,StronglyDisapprove,SomeCollege,Latino,Single,Unlikely,NotReal,SomewhatDisagree,SomewhatDisagree,0,High
unknown,Female,22,StronglyDisapprove,Graduate,Latino,Single,Likely,RealCausedbyPeople,SomewhatDisagree,StronglyDisagree,40,AboutRight
Democrat,Female,67,SomewhatDisapprove,Highschool,Black,Widowed,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,50,AboutRight
Democrat,Male,25,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Independent,Male,76,StronglyDisapprove,Other,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Independent,Male,30,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,AboutRight
Independent,Male,21,SomewhatDisapprove,College,Black,Relationship,Unlikely,RealCausedbyPeople,SomewhatDisagree,StronglyAgree,60,Low
Republican,Female,38,StronglyApprove,College,Black,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,13,AboutRight
Republican,Female,59,SomewhatApprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,SomewhatDisagree,StronglyAgree,3,AboutRight
Republican,Male,52,StronglyApprove,Highschool,White,Relationship,Unlikely,NotReal,StronglyDisagree,StronglyAgree,25,AboutRight
Democrat,Female,21,StronglyDisapprove,SomeCollege,Latino,Single,Likely,RealCausedbyPeople,NeitherAgreeDisagree,NeitherAgreeDisagree,0,AboutRight
Democrat,Male,38,StronglyDisapprove,College,Latino,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Independent,Male,53,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,3,Low
Independent,Female,51,SomewhatDisapprove,College,White,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,2,AboutRight
Independent,Male,45,NeitherApproveDisapprove,SomeCollege,White,Single,Unlikely,NotReal,NeitherAgreeDisagree,StronglyAgree,28,High
Democrat,Female,40,SomewhatDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Independent,Male,70,StronglyDisapprove,College,Black,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatDisagree,1,AboutRight
Democrat,Male,58,StronglyDisapprove,Graduate,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Independent,Female,42,SomewhatDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Democrat,Female,36,StronglyDisapprove,Graduate,Latino,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,3,High
Independent,Female,40,unknown,College,White,Married,unknown,RealCausedbyPeople,SomewhatAgree,StronglyAgree,100,unknown
Independent,Female,24,unknown,College,White,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,10,Low
Democrat,Male,75,StronglyDisapprove,College,Black,Widowed,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,6,Low
Republican,Female,68,SomewhatApprove,SomeCollege,White,Widowed,Likely,RealNotCausedbyPeople,SomewhatAgree,StronglyDisagree,250,AboutRight
Independent,Male,57,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,4,AboutRight
Republican,Male,64,StronglyApprove,Graduate,Asian,Married,Unlikely,NotReal,SomewhatAgree,SomewhatAgree,0,AboutRight
Independent,Female,56,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,12,Low
Democrat,Female,33,SomewhatDisapprove,Graduate,Black,Single,Unlikely,RealNotCausedbyPeople,NeitherAgreeDisagree,StronglyAgree,12,AboutRight
unknown,Female,40,SomewhatApprove,SomeCollege,White,Married,Unlikely,unknown,StronglyAgree,StronglyAgree,5,Low
Republican,Female,57,StronglyApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,56,High
Independent,Male,63,SomewhatDisapprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,SomewhatAgree,3,AboutRight
Independent,Female,57,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,52,Low
Independent,Female,48,SomewhatApprove,College,White,Divorced,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,12,AboutRight
Independent,Female,55,NeitherApproveDisapprove,College,unknown,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,6,Low
Independent,Female,60,StronglyApprove,SomeCollege,White,Married,Unlikely,NotReal,SomewhatAgree,StronglyAgree,40,High
Independent,Female,59,StronglyApprove,Highschool,White,Divorced,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,AboutRight
Democrat,Male,51,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,4,Low
Republican,Female,64,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Democrat,Female,75,StronglyDisapprove,Highschool,Black,Divorced,unknown,RealCausedbyPeople,StronglyDisagree,StronglyDisagree,0,High
Democrat,Male,53,StronglyDisapprove,Highschool,White,Married,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,2,AboutRight
unknown,Female,65,StronglyApprove,Highschool,White,Single,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,unknown,0,High
Republican,Female,40,StronglyApprove,College,White,Married,Likely,NotReal,SomewhatDisagree,SomewhatAgree,0,High
Republican,Male,45,SomewhatApprove,College,Black,Married,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,0,unknown
Democrat,Female,26,StronglyDisapprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,15,Low
Independent,Male,64,SomewhatApprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,4,AboutRight
Independent,Other,36,StronglyApprove,Graduate,Black,Married,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,5,unknown
Independent,Male,60,StronglyDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,3,AboutRight
Independent,Male,64,StronglyDisapprove,College,White,Separated,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,6,Low
Independent,Female,55,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,2,Low
Republican,Female,62,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,StronglyAgree,5,Low
Republican,Female,64,SomewhatApprove,SomeCollege,White,Widowed,Unlikely,RealNotCausedbyPeople,unknown,StronglyAgree,1,AboutRight
Independent,Female,49,StronglyDisapprove,SomeCollege,Black,Relationship,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,0,AboutRight
Republican,Female,58,StronglyApprove,SomeCollege,White,Married,Unlikely,NotReal,SomewhatDisagree,StronglyDisagree,50,AboutRight
unknown,Female,60,StronglyApprove,Highschool,Other,Married,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,AboutRight
Independent,Male,47,SomewhatApprove,Graduate,White,Single,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
unknown,Female,55,unknown,unknown,White,Married,Unlikely,unknown,SomewhatDisagree,SomewhatDisagree,8,unknown
unknown,Female,58,StronglyDisapprove,Other,unknown,Married,Unlikely,RealCausedbyPeople,StronglyDisagree,SomewhatAgree,120,Low
Democrat,Female,61,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,6,Low
Republican,Male,61,NeitherApproveDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,High
Republican,Female,57,SomewhatApprove,Graduate,White,Married,unknown,NotReal,SomewhatAgree,StronglyAgree,30,AboutRight
Democrat,Female,69,StronglyDisapprove,Highschool,Black,Separated,Likely,RealNotCausedbyPeople,SomewhatDisagree,SomewhatDisagree,2,AboutRight
Independent,Male,58,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,unknown,12,Low
Independent,Female,63,StronglyApprove,Highschool,White,Divorced,Unlikely,unknown,StronglyAgree,StronglyAgree,4,unknown
Republican,Female,66,StronglyApprove,Highschool,White,Relationship,Likely,NotReal,StronglyDisagree,StronglyDisagree,2,High
Independent,Female,44,StronglyDisapprove,Highschool,White,Married,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Independent,Male,70,SomewhatApprove,Graduate,White,Relationship,Unlikely,NotReal,StronglyAgree,StronglyAgree,6,AboutRight
Democrat,Male,63,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatDisagree,5,AboutRight
Republican,Male,60,StronglyApprove,College,unknown,Married,Unlikely,NotReal,StronglyDisagree,SomewhatAgree,15,AboutRight
Independent,Female,60,StronglyDisapprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,SomewhatDisagree,StronglyAgree,6,Low
Independent,Male,52,SomewhatApprove,Graduate,unknown,Married,Unlikely,RealNotCausedbyPeople,StronglyDisagree,SomewhatAgree,8,unknown
Independent,Female,38,StronglyApprove,Highschool,Other,Married,unknown,RealCausedbyPeople,SomewhatDisagree,StronglyAgree,4,Low
Independent,Female,61,StronglyDisapprove,SomeCollege,White,Relationship,Likely,RealCausedbyPeople,SomewhatDisagree,StronglyDisagree,10,High
Independent,Female,62,StronglyApprove,Highschool,White,Married,Likely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,10,AboutRight
Independent,Male,40,StronglyApprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,AboutRight
Republican,Female,40,StronglyApprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyDisagree,StronglyAgree,15,AboutRight
Republican,Female,61,SomewhatApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,25,Low
Democrat,Female,68,StronglyDisapprove,Highschool,White,Widowed,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,1,AboutRight
Democrat,Female,32,StronglyDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,30,Low
Republican,Female,55,StronglyApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,0,AboutRight
Republican,Female,58,SomewhatApprove,Highschool,Black,Married,Likely,RealCausedbyPeople,SomewhatDisagree,SomewhatDisagree,0,AboutRight
Independent,Male,60,StronglyApprove,SomeCollege,White,Married,Unlikely,NotReal,SomewhatDisagree,SomewhatAgree,40,AboutRight
Independent,Male,58,StronglyApprove,College,White,Married,Likely,NotReal,SomewhatAgree,StronglyAgree,60,AboutRight
Independent,Male,55,StronglyApprove,SomeCollege,Other,Widowed,Unlikely,NotReal,StronglyDisagree,unknown,7,High
Independent,Male,55,StronglyApprove,Graduate,Latino,Single,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,10,AboutRight
Republican,Female,59,StronglyApprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,AboutRight
unknown,Female,57,SomewhatDisapprove,College,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,17,Low
Democrat,Male,62,StronglyDisapprove,Highschool,Black,Divorced,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,AboutRight
Independent,Male,34,StronglyDisapprove,SomeCollege,White,Single,unknown,RealCausedbyPeople,StronglyDisagree,StronglyAgree,3,Low
Republican,Male,40,SomewhatApprove,Graduate,White,Married,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,150,AboutRight
Democrat,Female,33,StronglyDisapprove,Highschool,Black,Single,unknown,unknown,unknown,unknown,0,unknown
Democrat,Female,45,StronglyDisapprove,SomeCollege,Latino,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,6,AboutRight
Democrat,Male,51,StronglyDisapprove,Highschool,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,Low
Republican,Male,63,StronglyApprove,Graduate,White,Widowed,Unlikely,unknown,StronglyAgree,SomewhatDisagree,10,unknown
Republican,Male,63,StronglyApprove,SomeCollege,White,Divorced,Unlikely,NotReal,StronglyDisagree,StronglyAgree,2,AboutRight
unknown,Female,62,StronglyDisapprove,SomeCollege,White,Married,unknown,RealCausedbyPeople,StronglyDisagree,StronglyDisagree,100,High
unknown,Male,35,SomewhatApprove,College,White,Divorced,Likely,RealCausedbyPeople,NeitherAgreeDisagree,SomewhatAgree,4,Low
Democrat,Male,57,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Independent,Male,50,SomewhatApprove,Highschool,Black,Married,Unlikely,NotReal,SomewhatAgree,SomewhatDisagree,6,Low
Independent,Male,65,SomewhatDisapprove,College,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,unknown,2,Low
unknown,Male,55,StronglyDisapprove,Highschool,White,Single,unknown,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,Low
Independent,Female,51,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Democrat,Female,80,StronglyDisapprove,College,White,Widowed,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,10,AboutRight
Independent,Female,61,StronglyApprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,5,AboutRight
unknown,Other,22,unknown,College,unknown,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,6,AboutRight
Democrat,Female,61,StronglyDisapprove,Graduate,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,8,AboutRight
Independent,Male,60,NeitherApproveDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,4,Low
Republican,Male,54,StronglyApprove,College,White,Married,Unlikely,NotReal,SomewhatAgree,StronglyAgree,12,Low
Democrat,Female,54,StronglyDisapprove,College,White,Separated,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,10,Low
Republican,Female,60,SomewhatApprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,3,AboutRight
Democrat,Male,56,StronglyDisapprove,Highschool,Latino,Single,Likely,RealCausedbyPeople,StronglyDisagree,StronglyAgree,20,AboutRight
Democrat,Male,64,SomewhatDisapprove,Highschool,White,Single,Unlikely,NotReal,SomewhatDisagree,SomewhatDisagree,6,AboutRight
Democrat,Female,29,StronglyDisapprove,College,Latino,Single,Likely,RealCausedbyPeople,SomewhatDisagree,StronglyDisagree,0,High
Democrat,Female,20,StronglyDisapprove,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,StronglyDisagree,StronglyAgree,15,High
Democrat,Male,28,SomewhatApprove,SomeCollege,Asian,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatDisagree,100,unknown
Republican,Male,50,SomewhatApprove,Graduate,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,70,High
Independent,Female,58,StronglyDisapprove,Other,Latino,Relationship,Likely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,4,AboutRight
Independent,Female,36,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
Democrat,Male,43,StronglyDisapprove,Highschool,Asian,Single,Unlikely,NotReal,StronglyDisagree,StronglyAgree,0,AboutRight
Republican,Female,63,SomewhatApprove,College,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,AboutRight
Independent,Male,45,SomewhatApprove,College,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,2,Low
Independent,Female,78,StronglyDisapprove,SomeCollege,White,Widowed,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,100,Low
Independent,Male,18,StronglyDisapprove,Highschool,Latino,Single,Likely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,3,AboutRight
Independent,Female,68,SomewhatApprove,Graduate,Other,Widowed,Unlikely,NotReal,SomewhatAgree,StronglyAgree,30,unknown
Republican,Female,64,StronglyApprove,Graduate,White,Married,Unlikely,RealNotCausedbyPeople,unknown,SomewhatAgree,15,unknown
Republican,Male,71,StronglyApprove,College,White,Single,Unlikely,NotReal,StronglyDisagree,StronglyAgree,4,High
Democrat,Female,66,StronglyDisapprove,SomeCollege,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Independent,Male,31,SomewhatApprove,Highschool,Latino,Single,Unlikely,NotReal,SomewhatDisagree,SomewhatAgree,1,High
Republican,Male,60,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,5,AboutRight
Independent,Male,39,StronglyApprove,Graduate,White,Married,Unlikely,NotReal,StronglyDisagree,StronglyDisagree,1,AboutRight
Independent,Male,67,SomewhatDisapprove,College,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyDisagree,2,Low
Independent,Male,20,SomewhatApprove,SomeCollege,Latino,Single,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,25,unknown
Democrat,Female,57,StronglyDisapprove,College,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Independent,Male,29,StronglyApprove,Highschool,White,Married,Unlikely,RealNotCausedbyPeople,StronglyDisagree,StronglyAgree,0,AboutRight
Independent,Male,61,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,StronglyDisagree,SomewhatAgree,7,unknown
Democrat,Female,66,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,unknown
Independent,Male,63,StronglyDisapprove,College,White,Married,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,700,Low
Democrat,Female,62,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,4,Low
Independent,Female,60,StronglyApprove,Highschool,White,Divorced,Unlikely,NotReal,StronglyDisagree,StronglyAgree,50,Low
Democrat,Male,21,StronglyDisapprove,Graduate,Asian,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,17,Low
Republican,Female,61,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,15,Low
Independent,Female,72,StronglyDisapprove,College,White,Relationship,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,4,Low
Republican,Female,28,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,15,Low
