Political-affiliation	Income	Gender	Age	Trump-approval	Education	Race	Marital-status	Jobs-robots	Climate-change	Scientists-honest	Vaccines-children	Books	Funding-science	ghosts?
Republican	110000	Female	44	SomewhatApprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyDisagree	StronglyAgree	3	AboutRight	No
unknown	80000	Female	22	unknown	College	White	Relationship	Unlikely	unknown	SomewhatAgree	StronglyAgree	20	AboutRight	Yes
Independent	114000	Male	56	StronglyApprove	Graduate	White	Married	unknown	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	2	AboutRight	No
Independent	236000	Male	52	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	6	Low	unknown
Democrat	48000	Male	64	StronglyDisapprove	Highschool	Black	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	AboutRight	No
Democrat	25000	Female	45	StronglyDisapprove	Highschool	Latino	Single	Unlikely	RealCausedbyPeople	SomewhatDisagree	StronglyDisagree	2	unknown	Yes
unknown	143000	Male	52	StronglyApprove	Graduate	unknown	unknown	Likely	unknown	unknown	StronglyAgree	20	Low	No
Independent	17000	Female	63	StronglyDisapprove	SomeCollege	Black	Divorced	Likely	unknown	unknown	StronglyAgree	10	unknown	No
Democrat	138000	Male	49	SomewhatApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
Independent	100000	Male	19	StronglyDisapprove	SomeCollege	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	4	unknown	No
Democrat	104000	Female	70	StronglyDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	60	Low	Yes
Democrat	85000	Female	60	StronglyDisapprove	Graduate	Black	Single	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	50	High	No
Independent	202000	Male	40	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	15	Low	No
Independent	41000	Female	41	NeitherApproveDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	7	Low	Yes
Independent	65000	Female	50	unknown	SomeCollege	Black	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	Low	No
Democrat	147000	Male	64	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	3	Low	No
Republican	19000	Male	83	StronglyApprove	Highschool	White	Widowed	unknown	RealCausedbyPeople	unknown	unknown	3	Low	Yes
Independent	97000	Female	53	StronglyApprove	College	Asian	Married	Unlikely	RealCausedbyPeople	StronglyDisagree	StronglyDisagree	1	AboutRight	Yes
Independent	105000	Male	68	unknown	Graduate	White	Single	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	StronglyDisagree	4	AboutRight	Yes
Independent	132000	Male	60	StronglyDisapprove	SomeCollege	unknown	Married	unknown	RealCausedbyPeople	StronglyAgree	StronglyAgree	6	AboutRight	No
Republican	153000	Female	58	StronglyApprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatDisagree	10	AboutRight	Yes
Democrat	17000	Female	53	SomewhatDisapprove	SomeCollege	Black	Married	Likely	RealCausedbyPeople	SomewhatDisagree	SomewhatAgree	2	Low	No
Independent	45000	Female	26	SomewhatDisapprove	Highschool	Latino	Relationship	Likely	NotReal	SomewhatAgree	StronglyAgree	3	AboutRight	No
Democrat	35000	Male	58	StronglyDisapprove	Highschool	Black	Relationship	Likely	NotReal	SomewhatAgree	StronglyDisagree	0	High	Yes
Independent	90000	Female	37	StronglyDisapprove	College	White	Married	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	120	Low	No
Independent	62000	Male	52	StronglyApprove	Graduate	White	Married	Unlikely	NotReal	unknown	StronglyAgree	4	AboutRight	No
unknown	71000	Female	56	StronglyDisapprove	Highschool	White	Married	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
Republican	118000	Male	50	StronglyApprove	SomeCollege	White	Married	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	0	unknown	No
Democrat	159000	Female	47	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	4	Low	Yes
Republican	5000	Female	55	StronglyApprove	Highschool	White	Relationship	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	5	Low	Yes
Independent	436000	Male	55	SomewhatDisapprove	College	Asian	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	3	Low	Yes
Republican	97000	Female	61	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	10	Low	No
unknown	22000	Male	64	StronglyDisapprove	unknown	Other	Widowed	Unlikely	RealCausedbyPeople	SomewhatAgree	unknown	4	Low	unknown
Republican	19000	Female	54	StronglyApprove	SomeCollege	White	Relationship	Likely	RealCausedbyPeople	unknown	StronglyDisagree	15	unknown	Yes
unknown	200000	Female	52	SomewhatDisapprove	SomeCollege	White	Married	Likely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	200	Low	unknown
Republican	51000	Female	71	StronglyApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	StronglyDisagree	SomewhatDisagree	16	High	Yes
Republican	7000	Female	58	StronglyApprove	Highschool	White	Single	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	SomewhatAgree	3	High	No
Democrat	18000	Female	40	StronglyDisapprove	SomeCollege	White	Divorced	Unlikely	NotReal	StronglyDisagree	StronglyDisagree	100	High	No
Democrat	56000	Female	59	StronglyDisapprove	Highschool	White	Married	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	No
Democrat	140000	Female	42	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	225	Low	No
Independent	31000	Female	38	SomewhatApprove	College	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	20	Low	Yes
Democrat	93000	Female	64	StronglyDisapprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	5	AboutRight	unknown
Democrat	32000	Female	59	StronglyDisapprove	Graduate	Latino	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	6	Low	No
Democrat	59000	Female	29	StronglyDisapprove	SomeCollege	White	Single	unknown	RealCausedbyPeople	unknown	StronglyAgree	3	unknown	Yes
Republican	150000	Male	65	StronglyDisapprove	Highschool	White	Married	Unlikely	NotReal	SomewhatDisagree	SomewhatAgree	2	High	No
Republican	132000	Male	52	StronglyApprove	SomeCollege	White	Married	Unlikely	NotReal	SomewhatAgree	StronglyAgree	2	Low	Yes
unknown	172000	Male	40	StronglyApprove	Highschool	White	Married	Unlikely	NotReal	StronglyDisagree	SomewhatAgree	13	High	No
Independent	25000	Female	52	StronglyDisapprove	Highschool	White	Divorced	Likely	NotReal	SomewhatDisagree	StronglyAgree	0	Low	No
Democrat	31000	Male	56	StronglyDisapprove	SomeCollege	White	Relationship	unknown	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	Yes
Republican	54000	Male	60	SomewhatApprove	Highschool	White	Married	Unlikely	unknown	unknown	StronglyAgree	0	AboutRight	No
Democrat	199000	Male	63	StronglyDisapprove	Graduate	White	Married	Likely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	12	Low	No
Democrat	55000	Female	59	StronglyDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	Yes
unknown	44000	Male	56	SomewhatApprove	Graduate	unknown	Married	Unlikely	NotReal	StronglyDisagree	StronglyDisagree	20	High	No
Republican	51000	Male	61	StronglyApprove	SomeCollege	White	Married	unknown	RealNotCausedbyPeople	NeitherAgreeDisagree	SomewhatAgree	17	AboutRight	No
Independent	98000	Male	57	StronglyDisapprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	2	Low	No
Independent	39000	Female	57	StronglyDisapprove	Graduate	White	Relationship	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	15	Low	No
Independent	26000	Male	49	SomewhatApprove	College	unknown	Married	Unlikely	NotReal	SomewhatAgree	StronglyAgree	0	AboutRight	No
Republican	70000	Female	72	StronglyApprove	Highschool	White	Widowed	Unlikely	NotReal	SomewhatDisagree	SomewhatAgree	2	AboutRight	unknown
Democrat	174000	Female	68	StronglyDisapprove	Graduate	White	Married	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	AboutRight	No
Republican	0	Female	60	StronglyApprove	Graduate	White	Married	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	10	Low	No
Independent	0	Female	63	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	30	AboutRight	No
unknown	0	Male	46	StronglyApprove	SomeCollege	White	Married	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	25	High	No
Independent	0	Male	39	StronglyDisapprove	Graduate	Other	Single	Unlikely	RealCausedbyPeople	SomewhatDisagree	SomewhatDisagree	1000	High	Yes
unknown	0	Male	50	SomewhatApprove	Highschool	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	0	High	No
Independent	0	Male	88	NeitherApproveDisapprove	College	White	Married	Likely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	0	AboutRight	No
Republican	0	Male	31	SomewhatApprove	College	Asian	Relationship	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	4	Low	No
unknown	0	Male	45	NeitherApproveDisapprove	Highschool	Black	Single	Unlikely	unknown	unknown	StronglyAgree	0	Low	No
Democrat	0	Other	30	StronglyApprove	Highschool	Black	Single	Unlikely	unknown	StronglyAgree	StronglyAgree	2	High	Yes
unknown	0	Female	64	unknown	Highschool	White	Married	Unlikely	unknown	SomewhatAgree	StronglyAgree	20	unknown	No
unknown	0	Female	32	unknown	SomeCollege	White	Single	Unlikely	unknown	unknown	SomewhatAgree	30	unknown	No
Independent	0	Female	42	StronglyApprove	College	White	Relationship	Unlikely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	3	AboutRight	No
Independent	0	Male	70	StronglyApprove	SomeCollege	White	Married	Unlikely	NotReal	SomewhatAgree	StronglyAgree	4	AboutRight	No
Democrat	0	Female	69	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	No
Independent	0	Male	51	StronglyApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	0	AboutRight	Yes
Independent	0	Male	64	StronglyApprove	SomeCollege	White	Married	Unlikely	NotReal	StronglyDisagree	NeitherAgreeDisagree	3	High	Yes
unknown	0	Female	49	unknown	Graduate	Black	Divorced	Unlikely	RealNotCausedbyPeople	SomewhatAgree	SomewhatDisagree	3	AboutRight	No
Democrat	0	Female	34	StronglyDisapprove	College	Black	Single	Unlikely	RealCausedbyPeople	SomewhatDisagree	SomewhatAgree	8	High	Yes
Republican	0	Female	50	NeitherApproveDisapprove	College	White	Married	Unlikely	NotReal	SomewhatAgree	SomewhatAgree	50	unknown	No
Independent	0	Female	65	StronglyApprove	Graduate	White	Widowed	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	5	Low	No
Independent	0	Male	74	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	No
Republican	0	Male	49	StronglyApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	1	AboutRight	No
Republican	0	Female	25	StronglyDisapprove	SomeCollege	Latino	Single	Unlikely	NotReal	SomewhatDisagree	SomewhatDisagree	0	High	Yes
unknown	0	Female	22	StronglyDisapprove	Graduate	Latino	Single	Likely	RealCausedbyPeople	SomewhatDisagree	StronglyDisagree	40	AboutRight	No
Democrat	0	Female	67	SomewhatDisapprove	Highschool	Black	Widowed	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	50	AboutRight	No
Democrat	0	Male	25	StronglyDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	No
Independent	0	Male	76	StronglyDisapprove	Other	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	No
Independent	0	Male	30	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	AboutRight	No
Independent	0	Male	21	SomewhatDisapprove	College	Black	Relationship	Unlikely	RealCausedbyPeople	SomewhatDisagree	StronglyAgree	60	Low	No
Republican	0	Female	38	StronglyApprove	College	Black	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	13	AboutRight	No
Republican	100000	Female	59	SomewhatApprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	SomewhatDisagree	StronglyAgree	3	AboutRight	Yes
Republican	0	Male	52	StronglyApprove	Highschool	White	Relationship	Unlikely	NotReal	StronglyDisagree	StronglyAgree	25	AboutRight	Yes
Democrat	0	Female	21	StronglyDisapprove	SomeCollege	Latino	Single	Likely	RealCausedbyPeople	NeitherAgreeDisagree	NeitherAgreeDisagree	0	AboutRight	No
Democrat	0	Male	38	StronglyDisapprove	College	Latino	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	No
Independent	0	Male	53	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	3	Low	No
Independent	0	Female	51	SomewhatDisapprove	College	White	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	2	AboutRight	No
Independent	0	Male	45	NeitherApproveDisapprove	SomeCollege	White	Single	Unlikely	NotReal	NeitherAgreeDisagree	StronglyAgree	28	High	No
Democrat	0	Female	40	SomewhatDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	No
Independent	0	Male	70	StronglyDisapprove	College	Black	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatDisagree	1	AboutRight	No
Democrat	0	Male	58	StronglyDisapprove	Graduate	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
Independent	0	Female	42	SomewhatDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	No
Democrat	0	Female	36	StronglyDisapprove	Graduate	Latino	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	3	High	Yes
Independent	0	Female	40	unknown	College	White	Married	unknown	RealCausedbyPeople	SomewhatAgree	StronglyAgree	100	unknown	No
Independent	0	Female	24	unknown	College	White	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	10	Low	Yes
Democrat	0	Male	75	StronglyDisapprove	College	Black	Widowed	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	6	Low	No
Republican	0	Female	68	SomewhatApprove	SomeCollege	White	Widowed	Likely	RealNotCausedbyPeople	SomewhatAgree	StronglyDisagree	250	AboutRight	No
Independent	132000	Male	57	StronglyApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	4	AboutRight	No
Republican	48000	Male	64	StronglyApprove	Graduate	Asian	Married	Unlikely	NotReal	SomewhatAgree	SomewhatAgree	0	AboutRight	Yes
Independent	92000	Female	56	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	12	Low	Yes
Democrat	25000	Female	33	SomewhatDisapprove	Graduate	Black	Single	Unlikely	RealNotCausedbyPeople	NeitherAgreeDisagree	StronglyAgree	12	AboutRight	No
unknown	22000	Female	40	SomewhatApprove	SomeCollege	White	Married	Unlikely	unknown	StronglyAgree	StronglyAgree	5	Low	Yes
Republican	57000	Female	57	StronglyApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	56	High	Yes
Independent	170000	Male	63	SomewhatDisapprove	College	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	SomewhatAgree	3	AboutRight	No
Independent	92000	Female	57	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	52	Low	No
Independent	91000	Female	48	SomewhatApprove	College	White	Divorced	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	12	AboutRight	Yes
Independent	10000	Female	55	NeitherApproveDisapprove	College	unknown	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	6	Low	No
Independent	48000	Female	60	StronglyApprove	SomeCollege	White	Married	Unlikely	NotReal	SomewhatAgree	StronglyAgree	40	High	Yes
Independent	105000	Female	59	StronglyApprove	Highschool	White	Divorced	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	AboutRight	Yes
Democrat	52000	Male	51	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	4	Low	Yes
Republican	90000	Female	64	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	Yes
Democrat	39000	Female	75	StronglyDisapprove	Highschool	Black	Divorced	unknown	RealCausedbyPeople	StronglyDisagree	StronglyDisagree	0	High	No
Democrat	120000	Male	53	StronglyDisapprove	Highschool	White	Married	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	2	AboutRight	Yes
unknown	34000	Female	65	StronglyApprove	Highschool	White	Single	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	unknown	0	High	No
Republican	180000	Female	40	StronglyApprove	College	White	Married	Likely	NotReal	SomewhatDisagree	SomewhatAgree	0	High	No
Republican	150000	Male	45	SomewhatApprove	College	Black	Married	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	0	unknown	No
Democrat	164000	Female	26	StronglyDisapprove	Highschool	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	15	Low	No
Independent	83000	Male	64	SomewhatApprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	4	AboutRight	No
Independent	386000	Other	36	StronglyApprove	Graduate	Black	Married	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	5	unknown	unknown
Independent	79000	Male	60	StronglyDisapprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	3	AboutRight	Yes
Independent	32000	Male	64	StronglyDisapprove	College	White	Separated	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	6	Low	No
Independent	327000	Female	55	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	2	Low	No
Republican	62000	Female	62	StronglyApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	StronglyAgree	5	Low	No
Republican	180000	Female	64	SomewhatApprove	SomeCollege	White	Widowed	Unlikely	RealNotCausedbyPeople	unknown	StronglyAgree	1	AboutRight	Yes
Independent	70000	Female	49	StronglyDisapprove	SomeCollege	Black	Relationship	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	0	AboutRight	Yes
Republican	103000	Female	58	StronglyApprove	SomeCollege	White	Married	Unlikely	NotReal	SomewhatDisagree	StronglyDisagree	50	AboutRight	Yes
unknown	20000	Female	60	StronglyApprove	Highschool	Other	Married	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	AboutRight	Yes
Independent	57000	Male	47	SomewhatApprove	Graduate	White	Single	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	No
unknown	90000	Female	55	unknown	unknown	White	Married	Unlikely	unknown	SomewhatDisagree	SomewhatDisagree	8	unknown	No
unknown	78000	Female	58	StronglyDisapprove	Other	unknown	Married	Unlikely	RealCausedbyPeople	StronglyDisagree	SomewhatAgree	120	Low	No
Democrat	132000	Female	61	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	6	Low	No
Republican	73000	Male	61	NeitherApproveDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	High	No
Republican	42000	Female	57	SomewhatApprove	Graduate	White	Married	unknown	NotReal	SomewhatAgree	StronglyAgree	30	AboutRight	Yes
Democrat	21000	Female	69	StronglyDisapprove	Highschool	Black	Separated	Likely	RealNotCausedbyPeople	SomewhatDisagree	SomewhatDisagree	2	AboutRight	No
Independent	163000	Male	58	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	unknown	12	Low	No
Independent	25000	Female	63	StronglyApprove	Highschool	White	Divorced	Unlikely	unknown	StronglyAgree	StronglyAgree	4	unknown	Yes
Republican	92000	Female	66	StronglyApprove	Highschool	White	Relationship	Likely	NotReal	StronglyDisagree	StronglyDisagree	2	High	Yes
Independent	88000	Female	44	StronglyDisapprove	Highschool	White	Married	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	Yes
Independent	22000	Male	70	SomewhatApprove	Graduate	White	Relationship	Unlikely	NotReal	StronglyAgree	StronglyAgree	6	AboutRight	No
Democrat	43000	Male	63	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatDisagree	5	AboutRight	No
Republican	90000	Male	60	StronglyApprove	College	unknown	Married	Unlikely	NotReal	StronglyDisagree	SomewhatAgree	15	AboutRight	No
Independent	47000	Female	60	StronglyDisapprove	Highschool	White	Single	Unlikely	RealCausedbyPeople	SomewhatDisagree	StronglyAgree	6	Low	Yes
Independent	120000	Male	52	SomewhatApprove	Graduate	unknown	Married	Unlikely	RealNotCausedbyPeople	StronglyDisagree	SomewhatAgree	8	unknown	No
Independent	10000	Female	38	StronglyApprove	Highschool	Other	Married	unknown	RealCausedbyPeople	SomewhatDisagree	StronglyAgree	4	Low	Yes
Independent	10000	Female	61	StronglyDisapprove	SomeCollege	White	Relationship	Likely	RealCausedbyPeople	SomewhatDisagree	StronglyDisagree	10	High	Yes
Independent	55000	Female	62	StronglyApprove	Highschool	White	Married	Likely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	10	AboutRight	unknown
Independent	113000	Male	40	StronglyApprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	AboutRight	No
Republican	137000	Female	40	StronglyApprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyDisagree	StronglyAgree	15	AboutRight	Yes
Republican	9000	Female	61	SomewhatApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	25	Low	Yes
Democrat	37000	Female	68	StronglyDisapprove	Highschool	White	Widowed	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	1	AboutRight	No
Democrat	39000	Female	32	StronglyDisapprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	30	Low	No
Republican	13000	Female	55	StronglyApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	0	AboutRight	Yes
Republican	47000	Female	58	SomewhatApprove	Highschool	Black	Married	Likely	RealCausedbyPeople	SomewhatDisagree	SomewhatDisagree	0	AboutRight	No
Independent	72000	Male	60	StronglyApprove	SomeCollege	White	Married	Unlikely	NotReal	SomewhatDisagree	SomewhatAgree	40	AboutRight	No
Independent	37000	Male	58	StronglyApprove	College	White	Married	Likely	NotReal	SomewhatAgree	StronglyAgree	60	AboutRight	Yes
Independent	69000	Male	55	StronglyApprove	SomeCollege	Other	Widowed	Unlikely	NotReal	StronglyDisagree	unknown	7	High	No
Independent	208000	Male	55	StronglyApprove	Graduate	Latino	Single	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	10	AboutRight	No
Republican	75000	Female	59	StronglyApprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	AboutRight	Yes
unknown	30000	Female	57	SomewhatDisapprove	College	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	17	Low	No
Democrat	23000	Male	62	StronglyDisapprove	Highschool	Black	Divorced	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	AboutRight	No
Independent	8000	Male	34	StronglyDisapprove	SomeCollege	White	Single	unknown	RealCausedbyPeople	StronglyDisagree	StronglyAgree	3	Low	No
Republican	114000	Male	40	SomewhatApprove	Graduate	White	Married	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	150	AboutRight	No
Democrat	112000	Female	33	StronglyDisapprove	Highschool	Black	Single	unknown	unknown	unknown	unknown	0	unknown	Yes
Democrat	129000	Female	45	StronglyDisapprove	SomeCollege	Latino	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	6	AboutRight	Yes
Democrat	94000	Male	51	StronglyDisapprove	Highschool	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	10	Low	No
Republican	129000	Male	63	StronglyApprove	Graduate	White	Widowed	Unlikely	unknown	StronglyAgree	SomewhatDisagree	10	unknown	No
Republican	177000	Male	63	StronglyApprove	SomeCollege	White	Divorced	Unlikely	NotReal	StronglyDisagree	StronglyAgree	2	AboutRight	Yes
unknown	30000	Female	62	StronglyDisapprove	SomeCollege	White	Married	unknown	RealCausedbyPeople	StronglyDisagree	StronglyDisagree	100	High	Yes
unknown	12000	Male	35	SomewhatApprove	College	White	Divorced	Likely	RealCausedbyPeople	NeitherAgreeDisagree	SomewhatAgree	4	Low	No
Democrat	135000	Male	57	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
Independent	87000	Male	50	SomewhatApprove	Highschool	Black	Married	Unlikely	NotReal	SomewhatAgree	SomewhatDisagree	6	Low	Yes
Independent	52000	Male	65	SomewhatDisapprove	College	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	unknown	2	Low	No
unknown	86000	Male	55	StronglyDisapprove	Highschool	White	Single	unknown	RealCausedbyPeople	StronglyAgree	StronglyAgree	10	Low	No
Independent	93000	Female	51	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	Yes
Democrat	183000	Female	80	StronglyDisapprove	College	White	Widowed	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	10	AboutRight	No
Independent	169000	Female	61	StronglyApprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	5	AboutRight	No
unknown	13000	Other	22	unknown	College	unknown	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	6	AboutRight	Yes
Democrat	102000	Female	61	StronglyDisapprove	Graduate	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	8	AboutRight	Yes
Independent	71000	Male	60	NeitherApproveDisapprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	4	Low	No
Republican	101000	Male	54	StronglyApprove	College	White	Married	Unlikely	NotReal	SomewhatAgree	StronglyAgree	12	Low	No
Democrat	198000	Female	54	StronglyDisapprove	College	White	Separated	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	10	Low	Yes
Republican	153000	Female	60	SomewhatApprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	3	AboutRight	Yes
Democrat	43000	Male	56	StronglyDisapprove	Highschool	Latino	Single	Likely	RealCausedbyPeople	StronglyDisagree	StronglyAgree	20	AboutRight	No
